table_addr,table_name,caller_addr,caller_name,caller_entry
00011b14,Open_Loop_Load_2,00022be1,FUN_00022b20,00022b20
00011ba6,Post_Start_Enrich_Trim_vs_Load,000217a3,FUN_0002165a,0002165a
00011ba6,Post_Start_Enrich_Trim_vs_Load,00023808,FUN_000237d5,000237d5
00011bb8,Post_Start_Enrich_Decay_Multiplier,0002165f,FUN_0002165a,0002165a
00011bb8,Post_Start_Enrich_Decay_Multiplier,0002175b,FUN_0002165a,0002165a
00011bc6,Post_Start_Enrichment,0002360b,FUN_000235a3,000235a3
00011bc6,Post_Start_Enrichment,0002361d,FUN_000235a3,000235a3
00011be2,Limp_Home_TPS_Table,000243b0,FUN_00024370,00024370
00011c0c,Injector_Battery_Voltage_Latency_Compensation,000246c5,FUN_000246b7,000246b7
00011c5a,Cranking_Primer_First_Pulse,0002445b,FUN_00024437,00024437
00011c9a,Accel_Enrich_Base_vs_Engine_Temp,00024835,FUN_00024769,00024769
00011d9e,Lean_Spool_Trailing_Time_Rich_Side,0002329a,FUN_00023274,00023274
00011db0,Lean_Spool_Trailing_Time_Lean_Side,00023305,FUN_00023274,00023274
00011dd4,Lean_Spool_Fuel_AFR_Table,00023996,FUN_00023970,00023970
0001225c,Ignition_Trim_vs_Eng_Temp,00025c57,FUN_00025c57,00025c57
00012268,Ignition_Trim_vs_Air_Temp,00025cbb,FUN_00025ca2,00025ca2
00012274,Ignition_Trim_Baro,00025c88,FUN_00025c6f,00025c6f
0001227e,Ignition_Trim_vs_Air_Temp_Active_Above_Load,00025ca7,FUN_00025ca2,00025ca2
0001228c,Warmup_Ignition_Control_vs_Eng_Temp,000259ff,FUN_00025950,00025950
0001228c,Warmup_Ignition_Control_vs_Eng_Temp,000259f6,FUN_00025950,00025950
00012298,Ignition_Coil_Charge_Time_Normal,00026034,FUN_0002600a,0002600a
000122c2,Knock_Control_Above_Load,0002512c,FUN_0002512c,0002512c
000122d0,Octane_Control_Above_Load,000252da,FUN_000252be,000252be
000122ea,Knock_Load_Table_3,00025530,FUN_000254fe,000254fe
00012326,Desired_ISCV_intial_step_position_with_AC_on_Neutral,00027612,FUN_000275fe,000275fe
00012326,Desired_ISCV_intial_step_position_with_AC_on_Neutral,0002762a,FUN_000275fe,000275fe
00012332,Desired_ISCV_initial_step_position_with_AC_on_Drive,00027633,FUN_000275fe,000275fe
00012332,Desired_ISCV_initial_step_position_with_AC_on_Drive,0002761b,FUN_000275fe,000275fe
00012382,Decel_Fuel_Cut_Ignition_Retard,000265f3,FUN_0002659b,0002659b
00012394,Idle_Post_Start_Step_Incr_vs_Air_Temp,00026962,FUN_00026952,00026952
000123a0,Idle_Post_Start_Decay_Time,00026986,FUN_00026952,00026952
000123be,Idle_Error_Correction_Neutral,000273bc,FUN_0002733c,0002733c
000123cc,Idle_Error_Correction_Drive_AC_On,000273c5,FUN_0002733c,0002733c
000124dc,Max_Total_Upward_WGDC_Correction_vs_TPS,000190c7,FUN_00019021,00019021
00012500,Max_Wastegate_Duty_1,00018fa0,FUN_00018f8a,00018f8a
00012514,Max_Wastegate_Duty_2,00018fa9,FUN_00018f8a,00018f8a
00012528,Max_Wastegate_Duty_3,00018fc3,FUN_00018f8a,00018f8a
0001253c,Boost_Desired_Engine_Load_1,00019136,FUN_00019120,00019120
00012550,Boost_Desired_Engine_Load_2,0001913f,FUN_00019120,00019120
00012564,Boost_Desired_Engine_Load_3,00019159,FUN_00019120,00019120
000128c2,ALS_Air_injection_time,00019db5,FUN_00019ca0,00019ca0
