"Function","Increased"
"f2ea_f2ee_composite_correction_calc","extraout_: 0 -> 6"
"openloop_mode_bit_update","WARNING: 0 -> 1"
"throttle_body_update","WARNING: 0 -> 1"
"egr_f490_condition_flags_update","WARNING: 0 -> 1"
"init_copy_const_block_via_memcpy_banked","unaff_: 0 -> 11; in_stack_: 0 -> 11; CONCAT: 49 -> 61"
"isr_ipu_ch2ch4_input_capture","WARNING: 0 -> 1"
"f216_bit6_update_from_hysteresis_gate","WARNING: 0 -> 1"
"f33e_bit7_update_from_f0f8_gate","WARNING: 0 -> 1"
"peripheral_block_ff15_warm_init","WARNING: 0 -> 1"
"warmup_complete_gate_check","WARNING: 0 -> 1"
"isc_f416_f438_reset_on_f20e_bit4","WARNING: 0 -> 1"
"o2_downstream_correction_apply","in_stack_: 4 -> 6"
"f21c_bit8_hysteresis_from_table_variant","WARNING: 0 -> 1"
"isc_f356_correction_calc","WARNING: 0 -> 1; extraout_: 2 -> 6"
"isc_f35e_correction_calc","WARNING: 0 -> 1"
"f3f0_bit8_constant_select","WARNING: 0 -> 1"
"knock_octane_f0e6_bit3_gate_dispatch","WARNING: 0 -> 1"
"isc_f416_f438_dispatch","WARNING: 0 -> 1"
"stub_zero_0x22193","WARNING: 0 -> 1"
"adc_backup_snapshot_write_if_time_elapsed","WARNING: 1 -> 3; unaff_: 2 -> 3; in_stack_: 9 -> 10; extraout_: 3 -> 23; CONCAT: 15 -> 53"
"isc_f352_table_lookup","extraout_: 0 -> 2"
"f3f4_bit7_update_dispatch","WARNING: 0 -> 1"
"efba_timer_target_select_from_f2a0_thresholds","WARNING: 0 -> 1"
"egr_target_f448_update","WARNING: 0 -> 1"
"f226_bit7_update_from_f4c2_check","WARNING: 0 -> 1"
"control_state_latch_prev","WARNING: 0 -> 1"
"knock_octane_pattern_match_state_machine","WARNING: 0 -> 1"
"sci3_timeout_set_abort","in_R: 0 -> 2"
"rpm_load_zone_counter_update","WARNING: 0 -> 1"
"f216_bit6_constant_select","WARNING: 0 -> 1"
"o2_sensor_mode_correction_select","WARNING: 0 -> 1"
"peripheral_block_ff70_ff88_cold_init","WARNING: 0 -> 1"
"aux_load_enable_flag_update","WARNING: 0 -> 1"
"isc_f038_constant_select","WARNING: 0 -> 1"
"f110_f17a_threshold_gate_check","WARNING: 0 -> 1"
"gear_state_config_loader_f1fc","WARNING: 0 -> 1"
"isc_f41e_table_lookup","extraout_: 0 -> 2"
"init_state_block_ee98_80_call_wrapper","WARNING: 0 -> 1"
"post_start_enrich_timer_update","WARNING: 0 -> 1"
"injpw_airvol_reset_on_fuelcut","WARNING: 0 -> 1"
"egr_f0e6_bit1_update","WARNING: 0 -> 1"
"o2_sensor2_correction_apply","in_stack_: 5 -> 6"
"ef9e_latch_from_multi_threshold_check","WARNING: 0 -> 1"
"per_cyl_knock_flag_update_cyl_a","WARNING: 0 -> 1"
"sci_request_latch_f58a_conditional","WARNING: 0 -> 1"
"stub_empty_0x1715e","CONCAT: 0 -> 2"
"isc_f0e6_bit0_update","WARNING: 0 -> 1"
"egr_valve_state_eval_f490","WARNING: 0 -> 1"
"o2_sensor2_mode3_midpoint","WARNING: 0 -> 1"
"f21c_bit1_update_dispatcher","WARNING: 0 -> 1"
"f25e_bit11_update_from_f224_gate","CONCAT: 0 -> 4"
"ff88_set_scaled_clamped","WARNING: 0 -> 1"
"fuel_pw_and_airvol_compute","WARNING: 0 -> 1"
"f216_bit8_update_from_recovery_chain","WARNING: 0 -> 1"
"sci1_boot_handshake_and_bulk_rx","WARNING: 1 -> 9; unaff_: 0 -> 2"
"fuel_cut_enable_check","WARNING: 0 -> 1"
"f430_clear","WARNING: 0 -> 1"
"f490_bits01_or_default_select","WARNING: 0 -> 1"
"o2_sensor_gain_divisor","in_stack_: 4 -> 5"
"init_scale_factor_f9ac","in_R: 0 -> 2"
"o2_mode65_lambda_select","in_stack_: 3 -> 4"
"f25e_bit10_update_from_f216_gate","WARNING: 0 -> 1"
"wgdc_output_clamp_f44c","in_stack_: 0 -> 6"
"f0ea_bit6_update_from_mode_check","WARNING: 0 -> 1"
"sci1_dispatch_and_latch_response","WARNING: 0 -> 1"
"isc_f416_f438_correction_calc","WARNING: 0 -> 1"
"o2_downstream_type34_check","in_stack_: 0 -> 1"
"canister_purge_duty_calc_f4ac","extraout_: 0 -> 2"
"sci1_boot_rxbuf_write","WARNING: 1 -> 2"
"sci1_boot_flash_erase_dispatch","unaff_: 0 -> 2"
